SaleID,Product,Amount,Tax,Total,SaleDate
1,Laptop,1138.17,113.81700000000001,1251.987,2024-01-29
2,Phone,295.35,29.535000000000004,324.88500000000005,2024-03-03
3,Monitor,221.71,22.171000000000003,243.881,2024-01-27
4,Laptop,141.72,14.172,155.892,2024-04-18
5,Phone,807.5,80.75,888.25,2024-02-25
6,Monitor,741.6,74.16000000000001,815.76,2024-01-07
7,Headphones,408.62,40.862,449.482,2024-05-19
8,Tablet,1233.2,123.32000000000001,1356.52,2024-05-30
9,Phone,1077.4,107.74000000000001,1185.14,2024-01-02
10,Tablet,317.67,31.767000000000003,349.437,2024-03-28
11,Laptop,229.84,22.984,252.824,2024-03-27
12,Tablet,1286.49,128.649,1415.1390000000001,2024-01-25
13,Laptop,1121.62,112.16199999999999,1233.782,2024-03-08
14,Laptop,1462.36,146.236,1608.596,2024-05-17
15,Laptop,872.86,87.286,960.146,2024-04-06
16,Monitor,369.2,36.92,406.12,2024-04-02
17,Laptop,1025.77,102.577,1128.347,2024-01-18
18,Laptop,1297.44,129.744,1427.184,2024-03-15
19,Headphones,489.16,48.916000000000004,538.076,2024-01-26
20,Phone,618.25,61.825,680.075,2024-04-03
21,Tablet,1082.55,108.255,1190.8049999999998,2024-02-23
22,Monitor,988.97,98.897,1087.867,2024-01-19
23,Phone,328.76,32.876,361.63599999999997,2024-05-16
24,Tablet,1485.33,148.533,1633.8629999999998,2024-04-07
25,Phone,1058.46,105.846,1164.306,2024-05-22
26,Phone,1250.52,125.052,1375.572,2024-01-15
27,Headphones,474.84,47.484,522.324,2024-03-21
28,Monitor,1326.91,132.691,1459.601,2024-02-24
29,Phone,1017.61,101.76100000000001,1119.371,2024-03-21
30,Headphones,300.02,30.002,330.022,2024-04-11
31,Phone,1142.98,114.298,1257.278,2024-02-05
32,Tablet,1145.82,114.582,1260.402,2024-05-17
33,Monitor,659.16,65.916,725.076,2024-04-19
34,Phone,813.34,81.334,894.674,2024-02-26
35,Laptop,1305.54,130.554,1436.094,2024-01-24
36,Phone,1208.91,120.89100000000002,1329.8010000000002,2024-02-09
37,Monitor,188.94,18.894000000000002,207.834,2024-04-18
38,Monitor,1494.57,149.457,1644.027,2024-04-07
39,Tablet,1459.51,145.951,1605.461,2024-05-15
40,Laptop,1054.39,105.43900000000002,1159.8290000000002,2024-01-03
41,Tablet,1176.04,117.604,1293.644,2024-05-17
42,Laptop,510.9,51.09,561.99,2024-03-28
43,Headphones,104.54,10.454,114.994,2024-02-10
44,Monitor,1166.75,116.67500000000001,1283.425,2024-03-08
45,Laptop,1318.73,131.87300000000002,1450.603,2024-05-09
46,Monitor,952.56,95.256,1047.816,2024-03-17
47,Tablet,1167.52,116.75200000000001,1284.272,2024-02-09
48,Monitor,1385.89,138.58900000000003,1524.479,2024-05-18
49,Headphones,127.27,12.727,139.99699999999999,2024-03-23
50,Tablet,435.23,43.523,478.75300000000004,2024-04-02
51,Monitor,1425.73,142.573,1568.303,2024-03-02
52,Headphones,1242.43,124.24300000000001,1366.673,2024-01-22
53,Phone,279.75,27.975,307.725,2024-05-16
54,Monitor,331.18,33.118,364.298,2024-05-01
55,Monitor,692.39,69.239,761.629,2024-05-15
56,Monitor,1157.37,115.737,1273.107,2024-02-24
57,Tablet,658.59,65.85900000000001,724.4490000000001,2024-02-21
58,Headphones,1359.46,135.946,1495.406,2024-04-05
59,Laptop,447.07,44.707,491.777,2024-04-25
60,Tablet,129.45,12.945,142.39499999999998,2024-01-17
61,Phone,923.82,92.382,1016.202,2024-05-21
62,Laptop,1090.98,109.09800000000001,1200.078,2024-01-02
63,Phone,194.36,19.436000000000003,213.79600000000002,2024-01-16
64,Tablet,199.2,19.92,219.12,2024-01-09
65,Tablet,1036.57,103.657,1140.2269999999999,2024-03-01
66,Monitor,285.24,28.524,313.764,2024-02-24
67,Monitor,761.74,76.174,837.914,2024-05-26
68,Headphones,366.57,36.657000000000004,403.227,2024-05-01
69,Headphones,596.02,59.602000000000004,655.622,2024-01-25
70,Headphones,1309.37,130.93699999999998,1440.3069999999998,2024-04-15
71,Laptop,184.86,18.486,203.346,2024-01-14
72,Laptop,448.12,44.812000000000005,492.932,2024-03-27
73,Monitor,728.06,72.806,800.866,2024-02-18
74,Phone,489.96,48.996,538.956,2024-04-18
75,Laptop,720.38,72.038,792.418,2024-03-04
76,Laptop,170.82,17.082,187.902,2024-05-20
77,Laptop,1456.59,145.659,1602.2489999999998,2024-05-18
78,Phone,668.98,66.89800000000001,735.878,2024-03-01
79,Phone,1310.51,131.05100000000002,1441.561,2024-05-03
80,Phone,630.56,63.056,693.616,2024-01-16
81,Tablet,1397.13,139.71300000000002,1536.843,2024-04-09
82,Tablet,692.21,69.221,761.431,2024-04-26
83,Headphones,316.72,31.672000000000004,348.39200000000005,2024-05-22
84,Phone,1456.19,145.619,1601.809,2024-03-16
85,Monitor,185.34,18.534000000000002,203.874,2024-05-28
86,Laptop,170.2,17.02,187.22,2024-03-21
87,Monitor,1387.14,138.71400000000003,1525.854,2024-05-02
88,Phone,179.63,17.963,197.593,2024-05-15
89,Laptop,1291.88,129.18800000000002,1421.0680000000002,2024-05-10
90,Monitor,195.15,19.515,214.66500000000002,2024-01-18
91,Headphones,267.84,26.784,294.62399999999997,2024-03-01
92,Phone,910.49,91.049,1001.539,2024-05-25
93,Monitor,214.78,21.478,236.258,2024-01-11
94,Monitor,831.9,83.19,915.0899999999999,2024-05-29
95,Phone,1037.62,103.762,1141.3819999999998,2024-03-07
96,Phone,471.86,47.18600000000001,519.046,2024-03-21
97,Tablet,740.11,74.01100000000001,814.121,2024-02-03
98,Laptop,741.6,74.16000000000001,815.76,2024-01-19
99,Laptop,202.57,20.257,222.827,2024-05-24
100,Monitor,471.28,47.128,518.408,2024-02-24
